# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Aug 30 13:25:08 2024
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
#
loc_rowid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_srad,koi_srad_err1,koi_srad_err2
1,K00752.01,CONFIRMED,9.488035570,2.7750000e-05,-2.7750000e-05,2.26,2.600e-01,-1.500e-01,0.9270,0.1050,-0.0610
2,K00752.02,CONFIRMED,54.418382700,2.4790000e-04,-2.4790000e-04,2.83,3.200e-01,-1.900e-01,0.9270,0.1050,-0.0610
3,K00753.01,CANDIDATE,19.899139950,1.4940000e-05,-1.4940000e-05,14.60,3.920e+00,-1.310e+00,0.8680,0.2330,-0.0780
4,K00754.01,FALSE POSITIVE,1.736952453,2.6300000e-07,-2.6300000e-07,33.46,8.500e+00,-2.830e+00,0.7910,0.2010,-0.0670
5,K00755.01,CONFIRMED,2.525591777,3.7610000e-06,-3.7610000e-06,2.75,8.800e-01,-3.500e-01,1.0460,0.3340,-0.1330
6,K00756.01,CONFIRMED,11.094320540,2.0360000e-05,-2.0360000e-05,3.90,1.270e+00,-4.200e-01,0.9720,0.3150,-0.1050
7,K00756.02,CONFIRMED,4.134435120,1.0460000e-05,-1.0460000e-05,2.77,9.000e-01,-3.000e-01,0.9720,0.3150,-0.1050
8,K00756.03,CONFIRMED,2.566588970,1.7810000e-05,-1.7810000e-05,1.59,5.200e-01,-1.700e-01,0.9720,0.3150,-0.1050
9,K00114.01,FALSE POSITIVE,7.361789580,2.1280000e-05,-2.1280000e-05,39.21,6.450e+00,-9.670e+00,1.9580,0.3220,-0.4830
10,K00757.01,CONFIRMED,16.068646740,1.0880000e-05,-1.0880000e-05,5.76,2.200e-01,-4.900e-01,0.8480,0.0330,-0.0720
11,K00001.01,CONFIRMED,2.470613377,2.7000000e-08,-2.7000000e-08,13.04,5.100e-01,-5.100e-01,0.9640,0.0380,-0.0380
12,K00002.01,CONFIRMED,2.204735417,4.3000000e-08,-4.3000000e-08,16.10,8.100e-01,-9.100e-01,1.9520,0.0990,-0.1100
13,K00010.01,CONFIRMED,3.522498429,1.9800000e-07,-1.9800000e-07,14.59,1.110e+00,-1.110e+00,1.4510,0.1100,-0.1100
14,K00112.02,CONFIRMED,3.709214104,6.5360000e-06,-6.5360000e-06,1.16,1.700e-01,-1.200e-01,1.0220,0.1430,-0.1070
15,K00742.01,FALSE POSITIVE,11.521446064,1.9800000e-06,-1.9800000e-06,150.51,3.976e+01,-1.331e+01,0.8480,0.2240,-0.0750
16,K00743.01,FALSE POSITIVE,19.403937760,2.0680000e-05,-2.0680000e-05,7.18,7.600e-01,-6.800e-01,0.6800,0.0720,-0.0650
